Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
52.41699981689453,53.34700012207031,52.26150131225586,53.25,24752000,0.0,0.0,GOOG
53.21549987792969,54.31449890136719,53.160499572753906,54.124000549316406,28604000,0.0,0.0,GOOG
54.400001525878906,54.67850112915039,54.20009994506836,54.31999969482422,20092000,0.0,0.0,GOOG
54.70000076293945,55.212501525878906,54.599998474121094,55.11149978637695,25582000,0.0,0.0,GOOG
55.11149978637695,55.563499450683594,55.08100128173828,55.34700012207031,20952000,0.0,0.0,GOOG
55.470001220703125,55.528499603271484,55.06155014038086,55.3129997253418,18050000,0.0,0.0,GOOG
54.85499954223633,55.22999954223633,54.80550003051758,55.13050079345703,20856000,0.0,0.0,GOOG
55.314998626708984,55.32624816894531,54.97949981689453,55.2760009765625,19566000,0.0,0.0,GOOG
55.12049865722656,56.214500427246094,55.057498931884766,56.112998962402344,34410000,0.0,0.0,GOOG
56.6254997253418,56.99549865722656,55.8916015625,56.0880012512207,31506000,0.0,0.0,GOOG
56.31100082397461,56.630001068115234,55.85049819946289,56.5989990234375,24052000,0.0,0.0,GOOG
56.570499420166016,56.6254997253418,55.875,56.489498138427734,23964000,0.0,0.0,GOOG
56.59149932861328,56.893001556396484,56.415000915527344,56.8754997253418,35564000,0.0,0.0,GOOG
56.8745002746582,57.99399948120117,56.75550079345703,57.79050064086914,32360000,0.0,0.0,GOOG
57.99250030517578,58.58134841918945,57.9375,58.49850082397461,26662000,0.0,0.0,GOOG
58.86650085449219,58.99300003051758,58.0525016784668,58.21200180053711,28332000,0.0,0.0,GOOG
58.62649917602539,58.797000885009766,58.13800048828125,58.51850128173828,29610000,0.0,0.0,GOOG
58.75400161743164,58.79199981689453,57.90549850463867,58.79199981689453,40376000,0.0,0.0,GOOG
58.82400131225586,59.34450149536133,58.5989990234375,58.77899932861328,27578000,0.0,0.0,GOOG
58.39149856567383,58.82600021362305,58.17599868774414,58.18450164794922,31126000,0.0,0.0,GOOG
58.528499603271484,58.650001525878906,57.95650100708008,58.49700164794922,30774000,0.0,0.0,GOOG
58.13050079345703,58.70000076293945,57.875999450683594,58.3849983215332,48242000,0.0,0.0,GOOG
56.099998474121094,56.153499603271484,55.36389923095703,55.595001220703125,97158000,0.0,0.0,GOOG
54.529998779296875,55.5,52.60150146484375,52.790000915527344,75966000,0.0,0.0,GOOG
51.35900115966797,54.08549880981445,51.1568489074707,54.029998779296875,68960000,0.0,0.0,GOOG
54.07699966430664,54.0890007019043,52.41299819946289,52.42900085449219,47384000,0.0,0.0,GOOG
52.77050018310547,52.930999755859375,50.03300094604492,50.07600021362305,57182000,0.0,0.0,GOOG
50.86249923706055,52.19850158691406,49.62799835205078,51.888999938964844,70118000,0.0,0.0,GOOG
52.400001525878906,53.07500076293945,52.0463981628418,52.59700012207031,41154000,0.0,0.0,GOOG
52.25,52.91849899291992,52.204349517822266,52.60499954223633,25302000,0.0,0.0,GOOG
52.4474983215332,53.58599853515625,52.337501525878906,53.48500061035156,31116000,0.0,0.0,GOOG
53.95349884033203,54.573951721191406,53.21699905395508,54.47600173950195,36868000,0.0,0.0,GOOG
54.420501708984375,55.23350143432617,54.4156494140625,54.7400016784668,33590000,0.0,0.0,GOOG
54.528499603271484,55.6974983215332,54.42599868774414,55.12300109863281,28462000,0.0,0.0,GOOG
55.32350158691406,56.69850158691406,55.31650161743164,55.56700134277344,30258000,0.0,0.0,GOOG
55.80950164794922,56.14099884033203,55.12950134277344,55.33150100708008,26344000,0.0,0.0,GOOG
55.63199996948242,56.36399841308594,55.23569869995117,56.339500427246094,25220000,0.0,0.0,GOOG
56.38999938964844,57.198001861572266,56.33475112915039,57.1875,31182000,0.0,0.0,GOOG
57.0620002746582,57.20199966430664,55.900001525878906,55.91450119018555,35482000,0.0,0.0,GOOG
56.1515007019043,56.37649917602539,55.1619987487793,55.23649978637695,37652000,0.0,0.0,GOOG
55.39350128173828,55.50600051879883,53.35005187988281,53.47600173950195,50318000,0.0,0.0,GOOG
52.65399932861328,54.09994888305664,52.4057502746582,53.94599914550781,45432000,0.0,0.0,GOOG
53.75699996948242,54.85499954223633,53.45000076293945,54.54650115966797,24044000,0.0,0.0,GOOG
54.96099853515625,55.092498779296875,54.48875045776367,54.75299835205078,30656000,0.0,0.0,GOOG
54.45949935913086,55.611000061035156,54.27410125732422,55.481998443603516,25850000,0.0,0.0,GOOG
55.76599884033203,56.380001068115234,55.63999938964844,56.29999923706055,27102000,0.0,0.0,GOOG
56.79999923706055,58.040000915527344,56.623050689697266,58.00199890136719,42560000,0.0,0.0,GOOG
58.192501068115234,58.852500915527344,57.87099838256836,58.224998474121094,43446000,0.0,0.0,GOOG
58.5,58.8380012512207,56.666500091552734,56.90850067138672,38144000,0.0,0.0,GOOG
